,status,fronds.new,fronds.old,fronds.ratio,min,species,dbh,nw.tree.01,nw.tree.02,nw.tree.03,nw.tree.04,nw.tree.05,sw.tree.06,sw.tree.07,sw.tree.08,sw.tree.09,sw.tree.10,sw.tree.11,sw.tree.12,ne.tree.13,ne.tree.14,ne.tree.15,se.tree.16,se.tree.17,sw.tree.20,sw.tree.21,sw.tree.22,sw.tree.23,sw.tree.24,sw.tree.25,se.log.01.eastTip,nw.log.02.southButt,smaller.doug.fir.log
nw.deadFern.81,dead,NA,NA,NA,5.18,ACMA,15.7,11.18,5.18,22.56,29.92,33.2,46.22,65.47,63.8,52.13,44.17,42.92,43.4,42.65,53.5,48.97,53.59,68.46,85.83,82.92,85.06,95.24,90.54,96.08,58.01,18.96,52.84
nw.deadFern.24,dead,NA,NA,NA,7.03,ACMA,15.7,12.2,7.03,24.91,27.25,29.98,40.58,59.75,57.95,46.27,38.41,37.74,37.84,42.18,53.83,48.46,51.87,67.61,84.1,81.19,81.2,92.41,88.11,93.31,52.76,16.11,54.32
nw.deadFern.25,dead,NA,NA,NA,15.13,CWD,154,18.97,15.45,30.67,24.69,26.07,31.42,50.29,48.05,36.32,28.58,29.18,28.42,43.8,56.4,49.8,50.99,67.93,82.62,79.75,75.75,88.85,85.34,89.85,44.53,15.13,49.98
nw.deadFern.22,dead,NA,NA,NA,12.87,CWD,154,18.6,12.91,27.85,23,24.78,34.12,52.89,50.33,38.5,30.32,29.86,29.7,45.18,57.58,51.27,52.95,69.68,84.76,81.87,78.45,91.33,87.71,92.32,47.34,12.87,52.54
nw.deadFern.19,dead,NA,NA,NA,11.68,CWD,154,20.25,13.58,27.57,21.51,23.18,33.93,52.49,49.59,37.68,29.23,28.34,28.39,46.73,59.18,52.79,54.29,71.11,86.01,83.13,79.14,92.32,88.8,93.32,47.44,11.68,53.45
nw.deadFern.39,dead,NA,NA,NA,11.31,CWD,154,19.57,12.41,26.62,21.51,23.38,35.03,53.63,50.76,38.85,30.37,29.27,29.46,46.65,59.01,52.76,54.51,71.21,86.32,83.43,79.88,92.86,89.25,93.85,48.45,11.31,54.04
nw.deadFern.34,dead,NA,NA,NA,11,ACMA,15.7,18.53,11,25.7,21.92,24.03,36.23,54.92,52.16,40.27,31.82,30.61,30.89,46.26,58.5,52.41,54.46,71.01,86.38,83.49,80.52,93.22,89.5,94.2,49.5,11.36,54.49
nw.deadFern.33,dead,NA,NA,NA,8.06,ACMA,15.7,19.86,8.06,21.15,19.58,22.37,40.49,58.96,55.7,43.7,34.71,31.98,33.14,49.31,61.23,55.54,58.19,74.44,90.26,87.36,85.02,97.51,93.65,98.47,53.96,8.45,58.87
nw.deadFern.37,dead,NA,NA,NA,8.9,CWD,154,24.84,16.03,27.03,17.35,18.65,34.14,51.94,48.05,35.99,26.76,24.35,25.16,51.21,63.74,57.22,58.3,75.33,89.78,86.91,81.48,95.41,92.17,96.44,48.32,8.9,56.43
nw.deadFern.35,dead,NA,NA,NA,5.29,CWD,154,26.79,15.64,24.09,13.86,15.65,37.42,54.81,50.33,38.25,28.52,24.42,26.21,54.37,66.76,60.45,61.86,78.76,93.44,90.57,85.25,99.2,95.93,100.23,51.8,5.29,60.22
nw.deadFern.31,dead,NA,NA,NA,6.33,CWD,154,29.75,18.58,25.47,11.91,13.08,37,53.78,48.74,36.69,26.64,21.65,23.9,56.78,69.29,62.8,63.81,80.89,95.17,92.32,85.93,100.39,97.35,101.45,51.65,6.33,61.4
nw.deadFern.32,dead,NA,NA,NA,3.88,ACMA,15.7,20.07,3.88,14.45,22.62,26.41,48.88,67.52,64.33,52.32,43.17,39.44,41.27,51.44,62.42,57.76,61.93,77.17,94.19,91.27,91.57,102.85,98.46,103.73,61.98,12.69,60.41
nw.deadFern.78,dead,NA,NA,NA,9.24,ACMA,15.7,20.35,9.24,14.5,30.07,34.14,55.98,74.98,72.36,60.42,51.54,48,49.79,51.38,61.16,57.63,63.27,77.25,95.36,92.45,95.75,105.52,100.57,106.32,68.35,21.02,54.81
nw.deadFern.48,dead,NA,NA,NA,8.08,ACMA,40.5,26.04,11.9,8.08,26.14,30.44,57.87,76.39,72.83,60.77,51.26,46.23,48.84,57.39,67.43,63.67,68.88,83.27,101.08,98.16,100.08,110.65,105.94,111.49,71,17.24,60.88
nw.deadFern.23,dead,NA,NA,NA,3.43,ACMA,37.8,36.69,23.07,23.32,3.43,5.59,43.72,59.15,52.79,41.05,30.44,22.02,26.36,64.96,77.32,71.05,72.29,89.3,103.67,100.82,93.86,108.72,105.78,109.79,58.66,8.66,69.73
sw.deadFern.68,dead,NA,NA,NA,12.59,THPL,92.5,30.75,45.17,63.31,62.18,63.19,36.91,51.81,57.67,51.19,51.28,59.47,55.01,12.59,24.44,15.72,13.48,30.81,45.43,42.53,47.44,54.56,49.62,55.34,36.95,52.34,20.24
sw.deadFern.55,dead,NA,NA,NA,13.47,ACMA,60.5,33.36,47.11,65.26,62.8,63.54,34.45,48.54,54.86,48.96,49.78,58.59,53.81,16.09,27.2,18.34,13.47,31.31,44.32,41.45,43.99,52.15,47.65,52.99,33.44,53.33,16.56
sw.deadFern.50,dead,NA,NA,NA,11.82,CWD,15,37.22,50.02,68.09,63.87,64.26,31.4,44.11,51.09,46.11,48,57.63,52.42,21.21,31.5,22.67,15.36,32.93,43.5,40.71,39.46,49.28,45.5,50.22,28.69,54.98,11.82
sw.deadFern.41,dead,NA,NA,NA,11.19,CWD,15,38.03,51.03,69.11,65.08,65.48,32.5,44.9,52.05,47.22,49.22,58.87,53.65,20.86,30.79,22,14.28,31.76,42.26,39.47,38.78,48.22,44.35,49.14,29.39,56.14,11.19
sw.deadFern.30,dead,NA,NA,NA,9.43,CWD,15,40.83,52.27,70.06,63.73,63.68,26.97,38.13,45.67,41.67,44.73,55.17,49.53,27.58,37.67,28.89,20.57,37.34,45.33,42.7,36.01,48.43,45.7,49.49,22.52,55.61,9.43
sw.deadFern.40,dead,NA,NA,NA,10.12,CWD,15,40.44,51.74,69.49,63.03,62.96,26.26,37.63,45.07,40.97,43.99,54.42,48.78,27.83,38.09,29.29,21.14,38.01,46.08,43.45,36.51,49.12,46.42,50.18,22.09,54.95,10.12
sw.deadFern.28,dead,NA,NA,NA,4.51,CWD,15,44.91,56.88,74.76,68.67,68.6,30.84,40.08,48.46,45.4,49.09,59.78,54.02,28.31,37.02,28.53,18.79,34.35,40.83,38.26,31.66,43.5,40.81,44.55,24.25,60.51,4.51
sw.deadFern.35,dead,NA,NA,NA,9.2,CWD,15,47.14,57.53,74.96,66.72,66.21,25.48,33.08,41.8,39.62,44.36,55.67,49.57,34.54,43.91,35.3,25.86,41.21,46.01,43.62,30.96,45.99,44.5,47.17,17.25,59.44,9.2
sw.deadFern.36,dead,NA,NA,NA,12.43,CWD,15,43.94,53.77,71.07,62.58,62.07,21.95,31.54,39.46,36.38,40.59,51.73,45.72,34.04,44.33,35.54,27.04,43.33,49.47,46.99,34.98,50.08,48.4,51.24,15.88,55.36,12.43
sw.deadFern.33,dead,NA,NA,NA,13.96,CWD,70,44.03,53.26,70.36,61.26,60.62,19.84,29.51,37.28,34.21,38.59,49.86,43.78,35.66,46.21,37.4,29.13,45.52,51.57,49.11,36.06,51.76,50.3,52.95,13.96,54.31,14.55
