Latitude	Longitude	Elevation
47.51363000	-122.009380	308.0
47.51360000	-122.009350	309.0
47.51358000	-122.009330	309.0
47.51355000	-122.009280	311.0
47.51353000	-122.009250	312.0
47.51351000	-122.009210	312.0
47.51349000	-122.009190	313.0
47.51347000	-122.009150	314.0
47.51343000	-122.009130	314.0
47.51340000	-122.009110	315.0
47.51338000	-122.009080	315.0
47.51336000	-122.009050	316.0
47.51333000	-122.009020	317.0
47.51330000	-122.009000	317.0
47.51327000	-122.008980	317.0
47.51325000	-122.008960	317.0
47.51322000	-122.008930	318.0
47.51319000	-122.008920	318.0
47.51316000	-122.008930	318.0
47.51317000	-122.008890	318.0
47.51317000	-122.008850	319.0
47.51316000	-122.008810	320.0
47.51314000	-122.008790	321.0
47.51311000	-122.008760	322.0
47.51308000	-122.008750	322.0
47.51305000	-122.008750	321.0
47.51301000	-122.008750	321.0
47.51298000	-122.008750	321.0
47.51295000	-122.008740	320.0
47.51293000	-122.008710	321.0
47.51291000	-122.008690	321.0
47.51288000	-122.008650	321.0
47.51285000	-122.008610	322.0
47.51282000	-122.008590	322.0
47.51280000	-122.008570	322.0
47.51277000	-122.008550	322.0
47.51275000	-122.008530	322.0
47.51272000	-122.008540	322.0
47.51269000	-122.008520	322.0
47.51265000	-122.008510	321.0
47.51263000	-122.008530	320.0
47.51260000	-122.008490	321.0
47.51258000	-122.008460	321.0
47.51256000	-122.008430	322.0
47.51254000	-122.008380	322.0
47.51250000	-122.008310	323.0
47.51248000	-122.008260	324.0
47.51246000	-122.008200	326.0
47.51244000	-122.008150	327.0
47.51241000	-122.008110	327.0
47.51238000	-122.008070	328.0
47.51236000	-122.008030	329.0
47.51232000	-122.007990	329.0
47.51228000	-122.007980	329.0
47.51226000	-122.007940	329.0
47.51224000	-122.007890	331.0
47.51221000	-122.007840	331.0
47.51219000	-122.007790	333.0
47.51216000	-122.007740	333.0
47.51214000	-122.007700	334.0
47.51211000	-122.007660	334.0
47.51209000	-122.007630	334.0
47.51207000	-122.007600	335.0
47.51206000	-122.007560	335.0
47.51204000	-122.007520	336.0
47.51203000	-122.007490	337.0
47.51201000	-122.007460	337.0
47.51198000	-122.007470	336.0
47.51194000	-122.007480	335.0
47.51192000	-122.007460	335.0
47.51190000	-122.007420	336.0
47.51189000	-122.007370	337.0
47.51189000	-122.007330	338.0
47.51187000	-122.007280	339.0
47.51186000	-122.007240	339.0
47.51185000	-122.007200	340.0
47.51184000	-122.007140	341.0
47.51183000	-122.007110	341.0
47.51181000	-122.007070	341.0
47.51179000	-122.007030	342.0
47.51178000	-122.006990	343.0
47.51175000	-122.006990	342.0
47.51172000	-122.006970	342.0
47.51170000	-122.006940	343.0
47.51167000	-122.006920	343.0
47.51164000	-122.006900	343.0
47.51161000	-122.006870	343.0
47.51160000	-122.006810	344.0
47.51158000	-122.006750	345.0
47.51156000	-122.006700	346.0
47.51154000	-122.006650	347.0
47.51154000	-122.006580	348.0
47.51153000	-122.006530	349.0
47.51151000	-122.006480	349.0
47.51148000	-122.006430	350.0
47.51145000	-122.006400	351.0
47.51142000	-122.006360	351.0
47.51140000	-122.006310	351.0
47.51137000	-122.006270	351.0
47.51135000	-122.006220	351.0
